Player,Arrival Time
Virat Kohli,18:39:54
Faf du Plessis,18:40:04
Rajat Patidar,18:40:15
Anuj Rawat,18:40:26
Suyash S Prabhudessai,18:40:45
Will Jacks,18:40:56
Saurav Chuahan,18:41:06
Glenn Maxwell,18:41:17
Mahipal Lomror,18:41:28
Karn Sharma,18:41:47
Cameron Green,18:41:57
Swapnil Singh,18:42:08
Dinesh Karthik,18:42:19
Mayank Dagar,18:42:30
Manoj Bhandage,18:42:48
Akash Deep,18:42:59
Alzarri Joseph,18:43:10
Lockie Ferguson,18:43:20
Mohammed Siraj,18:43:31
Yash Dayal,18:43:42
Tom Curran,18:43:52
Reece Topley,18:44:03
Himanshu Sharma,18:44:14
Rajan Kumar,18:44:25
Vyshak Vijay Kumar,18:44:35
Andy Flower,18:44:46
Mo Bobat,18:44:57
Neil Mckenzie,18:45:16
Shanker Basu,18:45:26
Malolan Rangarajan,18:45:37
